Time B=0.1;Num of Total Infected Nodes B=0.1;Num of Infected Nodes This Time B=0.1;Time B=0.2;Num of Total Infected Nodes B=0.2;Num of Infected Nodes This Time B=0.2;Time B=0.3;Num of Total Infected Nodes B=0.3;Num of Infected Nodes This Time B=0.3;Time B=0.4;Num of Total Infected Nodes B=0.4;Num of Infected Nodes This Time B=0.4;Time B=0.5;Num of Total Infected Nodes B=0.5;Num of Infected Nodes This Time B=0.5;Time B=0.6;Num of Total Infected Nodes B=0.6;Num of Infected Nodes This Time B=0.6;Time B=0.7;Num of Total Infected Nodes B=0.7;Num of Infected Nodes This Time B=0.7;Time B=0.8;Num of Total Infected Nodes B=0.8;Num of Infected Nodes This Time B=0.8;Time B=0.9;Num of Total Infected Nodes B=0.9;Num of Infected Nodes This Time B=0.9;Time B=1;Num of Total Infected Nodes B=1;Num of Infected Nodes This Time B=1; 
1;0;0;1;0;0;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;
2;1;1;2;1;1;2;2;1;2;1;1;2;2;1;2;1;1;2;3;2;2;3;2;2;3;2;2;3;2;
3;2;1;3;3;2;3;3;1;3;2;1;3;5;3;3;2;1;3;5;2;3;5;2;3;7;4;3;7;4;
4;3;1;4;4;1;4;4;1;4;5;3;4;7;2;4;4;2;4;10;5;4;10;5;4;14;7;4;15;8;
5;6;3;5;6;2;5;6;2;5;8;3;5;10;3;5;9;5;5;19;9;5;19;9;5;28;14;5;31;16;
6;8;2;6;9;3;6;8;2;6;11;3;6;18;8;6;15;6;6;36;17;6;34;15;6;52;24;6;63;32;
7;9;1;7;14;5;7;12;4;7;14;3;7;29;11;7;23;8;7;66;30;7;61;27;7;97;45;7;127;64;
8;10;1;8;20;6;8;15;3;8;22;8;8;43;14;8;36;13;8;116;50;8;115;54;8;182;85;8;255;128;
9;13;3;9;26;6;9;21;6;9;29;7;9;67;24;9;60;24;9;195;79;9;213;98;9;350;168;9;511;256;
10;16;3;10;32;6;10;29;8;10;44;15;10;95;28;10;102;42;10;331;136;10;381;168;10;674;324;10;1023;512;
11;17;1;11;44;12;11;37;8;11;61;17;11;146;51;11;163;61;11;553;222;11;690;309;11;1281;607;11;2046;1023;
12;22;5;12;52;8;12;49;12;12;87;26;12;224;78;12;266;103;12;942;389;12;1248;558;12;2430;1149;12;4086;2040;
13;25;3;13;62;10;13;65;16;13;125;38;13;347;123;13;418;152;13;1601;659;13;2257;1009;13;4587;2157;13;8152;4066;
14;26;1;14;68;6;14;82;17;14;172;47;14;524;177;14;679;261;14;2715;1114;14;4064;1807;14;8689;4102;14;16219;8067;
15;29;3;15;80;12;15;107;25;15;240;68;15;781;257;15;1130;451;15;4655;1940;15;7306;3242;15;16447;7758;15;32047;15828;
16;33;4;16;95;15;16;137;30;16;327;87;16;1170;389;16;1813;683;16;7886;3231;16;13072;5766;16;30887;14440;16;62549;30502;
17;38;5;17;118;23;17;176;39;17;456;129;17;1749;579;17;2920;1107;17;13356;5470;17;23336;10264;17;57402;26515;17;119445;56896;
18;43;5;18;139;21;18;223;47;18;638;182;18;2612;863;18;4689;1769;18;22505;9149;18;41545;18209;18;105033;47631;18;218733;99288;
19;48;5;19;173;34;19;288;65;19;906;268;19;3915;1303;19;7480;2791;19;37860;15355;19;72842;31297;19;185655;80622;19;372178;153445;
20;57;9;20;209;36;20;363;75;20;1262;356;20;5916;2001;20;11869;4389;20;63033;25173;20;125344;52502;20;311101;125446;20;567281;195103;
21;65;8;21;261;52;21;475;112;21;1775;513;21;8856;2940;21;18949;7080;21;103608;40575;21;208673;83329;21;479439;168338;21;754512;187231;
22;72;7;22;311;50;22;610;135;22;2495;720;22;13203;4347;22;30006;11057;22;166038;62430;22;330058;121385;22;661822;182383;22;884412;129900;
23;81;9;23;379;68;23;781;171;23;3506;1011;23;19676;6473;23;47323;17317;23;257539;91501;23;485893;155835;23;813030;151208;23;952289;67877;
24;90;9;24;468;89;24;1020;239;24;4922;1416;24;29305;9629;24;73898;26575;24;380299;122760;24;651661;165768;24;909841;96811;24;981686;29397;
25;101;11;25;574;106;25;1323;303;25;6889;1967;25;43536;14231;25;114326;40428;25;524853;144554;25;792983;141322;25;960172;50331;25;993162;11476;
26;112;11;26;688;114;26;1725;402;26;9646;2757;26;64247;20711;26;172898;58572;26;670712;145859;26;890266;97283;26;983287;23115;26;997473;4311;
27;126;14;27;824;136;27;2239;514;27;13506;3860;27;93873;29626;27;254460;81562;27;793860;123148;27;946144;55878;27;993084;9797;27;999079;1606;
28;137;11;28;985;161;28;2930;691;28;18868;5362;28;135284;41411;28;359917;105457;28;881797;87937;28;974671;28527;28;997155;4071;28;999672;593;
29;144;7;29;1191;206;29;3815;885;29;26239;7371;29;191704;56420;29;484593;124676;29;936660;54863;29;988367;13696;29;998896;1741;29;999898;226;
30;165;21;30;1422;231;30;4949;1134;30;36465;10226;30;265510;73806;30;614710;130117;30;967036;30376;30;994731;6364;30;999559;663;30;999978;80;
31;182;17;31;1693;271;31;6442;1493;31;50538;14073;31;356561;91051;31;733394;118684;31;983289;16253;31;997678;2947;31;999838;279;31;1000000;22;
32;205;23;32;2030;337;32;8350;1908;32;69454;18916;32;461965;105404;32;828436;95042;32;991604;8315;32;998970;1292;32;999939;101;;;;
33;231;26;33;2424;394;33;10861;2511;33;94972;25518;33;572853;110888;33;895204;66768;33;995844;4240;33;999535;565;33;999989;50;;;;
34;260;29;34;2889;465;34;14138;3277;34;128845;33873;34;679229;106376;34;938499;43295;34;998007;2163;34;999814;279;34;1000000;11;;;;
35;290;30;35;3478;589;35;18388;4250;35;172692;43847;35;771579;92350;35;965126;26627;35;998988;981;35;999940;126;;;;;;;
36;317;27;36;4147;669;36;23817;5429;36;227968;55276;36;844419;72840;36;980401;15275;36;999509;521;36;999985;45;;;;;;;
37;354;37;37;4939;792;37;30667;6850;37;295360;67392;37;897844;53425;37;989173;8772;37;999781;272;37;1000000;15;;;;;;;
38;390;36;38;5915;976;38;39584;8917;38;373776;78416;38;934818;36974;38;994092;4919;38;999900;119;;;;;;;;;;
39;437;47;39;7097;1182;39;50790;11206;39;460579;86803;39;959151;24333;39;996824;2732;39;999969;69;;;;;;;;;;
40;470;33;40;8498;1401;40;65176;14386;40;551665;91086;40;974730;15579;40;998249;1425;40;1000000;31;;;;;;;;;;
41;520;50;41;10228;1730;41;83279;18103;41;640530;88865;41;984428;9698;41;999049;800;;;;;;;;;;;;;
42;572;52;42;12227;1999;42;105783;22504;42;721585;81055;42;990441;6013;42;999505;456;;;;;;;;;;;;;
43;624;52;43;14611;2384;43;133817;28034;43;791784;70199;43;994197;3756;43;999726;221;;;;;;;;;;;;;
44;684;60;44;17505;2894;44;167916;34099;44;848168;56384;44;996498;2301;44;999864;138;;;;;;;;;;;;;
45;751;67;45;21022;3517;45;208789;40873;45;891485;43317;45;997856;1358;45;999942;78;;;;;;;;;;;;;
46;826;75;46;25111;4089;46;257087;48298;46;923882;32397;46;998718;862;46;999994;52;;;;;;;;;;;;;
47;912;86;47;30040;4929;47;312255;55168;47;947491;23609;47;999269;551;47;1000000;6;;;;;;;;;;;;;
48;995;83;48;35787;5747;48;373770;61515;48;964195;16704;48;999598;329;;;;;;;;;;;;;;;;
49;1098;103;49;42708;6921;49;439985;66215;49;975605;11410;49;999770;172;;;;;;;;;;;;;;;;
50;1230;132;50;50907;8199;50;509424;69439;50;983580;7975;50;999883;113;;;;;;;;;;;;;;;;
51;1320;90;51;60502;9595;51;578932;69508;51;988869;5289;51;999957;74;;;;;;;;;;;;;;;;
52;1468;148;52;71746;11244;52;646076;67144;52;992605;3736;52;999997;40;;;;;;;;;;;;;;;;
53;1614;146;53;84997;13251;53;708322;62246;53;995064;2459;53;1000000;3;;;;;;;;;;;;;;;;
54;1782;168;54;100493;15496;54;764438;56116;54;996768;1704;;;;;;;;;;;;;;;;;;;
55;1949;167;55;118544;18051;55;812556;48118;55;997854;1086;;;;;;;;;;;;;;;;;;;
56;2156;207;56;139091;20547;56;853230;40674;56;998590;736;;;;;;;;;;;;;;;;;;;
57;2385;229;57;162809;23718;57;886427;33197;57;999063;473;;;;;;;;;;;;;;;;;;;
58;2619;234;58;189667;26858;58;912827;26400;58;999411;348;;;;;;;;;;;;;;;;;;;
59;2908;289;59;219749;30082;59;933857;21030;59;999618;207;;;;;;;;;;;;;;;;;;;
60;3199;291;60;253376;33627;60;949914;16057;60;999774;156;;;;;;;;;;;;;;;;;;;
61;3522;323;61;290217;36841;61;962322;12408;61;999869;95;;;;;;;;;;;;;;;;;;;
62;3874;352;62;330265;40048;62;971822;9500;62;999941;72;;;;;;;;;;;;;;;;;;;
63;4229;355;63;373050;42785;63;978968;7146;63;999981;40;;;;;;;;;;;;;;;;;;;
64;4651;422;64;418466;45416;64;984327;5359;64;1000000;19;;;;;;;;;;;;;;;;;;;
65;5093;442;65;465251;46785;65;988360;4033;;;;;;;;;;;;;;;;;;;;;;
66;5597;504;66;512949;47698;66;991355;2995;;;;;;;;;;;;;;;;;;;;;;
