Time B=0.1;Num of Total Infected Nodes B=0.1;Num of Infected Nodes This Time B=0.1;Time B=0.2;Num of Total Infected Nodes B=0.2;Num of Infected Nodes This Time B=0.2;Time B=0.3;Num of Total Infected Nodes B=0.3;Num of Infected Nodes This Time B=0.3;Time B=0.4;Num of Total Infected Nodes B=0.4;Num of Infected Nodes This Time B=0.4;Time B=0.5;Num of Total Infected Nodes B=0.5;Num of Infected Nodes This Time B=0.5;Time B=0.6;Num of Total Infected Nodes B=0.6;Num of Infected Nodes This Time B=0.6;Time B=0.7;Num of Total Infected Nodes B=0.7;Num of Infected Nodes This Time B=0.7;Time B=0.8;Num of Total Infected Nodes B=0.8;Num of Infected Nodes This Time B=0.8;Time B=0.9;Num of Total Infected Nodes B=0.9;Num of Infected Nodes This Time B=0.9;Time B=1;Num of Total Infected Nodes B=1;Num of Infected Nodes This Time B=1
1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1
2;1;1;2;1;1;2;2;1;2;1;1;2;1;1;2;2;1;2;3;2;2;3;2;2;1;1;2;3;2
3;2;1;3;2;1;3;3;1;3;2;1;3;2;1;3;3;1;3;7;4;3;7;4;3;2;1;3;7;4
4;3;1;4;3;1;4;4;1;4;4;2;4;3;1;4;5;2;4;13;6;4;15;8;4;5;3;4;15;8
5;4;1;5;5;2;5;5;1;5;6;2;5;5;2;5;8;3;5;24;11;5;27;12;5;11;6;5;31;16
6;5;1;6;8;3;6;6;1;6;8;2;6;6;1;6;16;8;6;43;19;6;52;25;6;19;8;6;63;32
7;6;1;7;10;2;7;9;3;7;14;6;7;10;4;7;25;9;7;74;31;7;95;43;7;38;19;7;127;64
8;7;1;8;14;4;8;11;2;8;19;5;8;17;7;8;39;14;8;124;50;8;167;72;8;70;32;8;255;128
9;11;4;9;18;4;9;16;5;9;30;11;9;27;10;9;62;23;9;216;92;9;297;130;9;132;62;9;510;255
10;14;3;10;22;4;10;23;7;10;45;15;10;36;9;10;103;41;10;375;159;10;533;236;10;252;120;10;1018;508
11;15;1;11;27;5;11;29;6;11;65;20;11;55;19;11;164;61;11;623;248;11;965;432;11;470;218;11;2023;1005
12;16;1;12;33;6;12;37;8;12;97;32;12;86;31;12;274;110;12;1070;447;12;1720;755;12;891;421;12;3986;1963
13;18;2;13;40;7;13;50;13;13;141;44;13;135;49;13;425;151;13;1836;766;13;3044;1324;13;1684;793;13;7752;3766
14;20;2;14;51;11;14;66;16;14;196;55;14;208;73;14;678;253;14;3093;1257;14;5360;2316;14;3166;1482;14;14658;6906
15;23;3;15;63;12;15;88;22;15;262;66;15;303;95;15;1090;412;15;5138;2045;15;9325;3965;15;5890;2724;15;26317;11659
16;28;5;16;77;14;16;121;33;16;388;126;16;456;153;16;1735;645;16;8474;3336;16;15849;6524;16;10759;4869;16;43368;17051
17;33;5;17;91;14;17;159;38;17;548;160;17;696;240;17;2719;984;17;13669;5195;17;25881;10032;17;19021;8262;17;63430;20062
18;40;7;18;106;15;18;206;47;18;757;209;18;1020;324;18;4277;1558;18;21453;7784;18;39755;13874;18;31845;12824;18;80632;17202
19;46;6;19;133;27;19;258;52;19;1076;319;19;1537;517;19;6742;2465;19;32440;10987;19;56234;16479;19;48820;16975;19;91467;10835
20;52;6;20;159;26;20;333;75;20;1487;411;20;2291;754;20;10409;3667;20;46223;13783;20;72172;15938;20;67044;18224;20;96496;5029
21;61;9;21;190;31;21;430;97;21;2037;550;21;3433;1142;21;15938;5529;21;60898;14675;21;84284;12112;21;82012;14968;21;98716;2220
22;69;8;22;226;36;22;564;134;22;2843;806;22;5105;1672;22;23805;7867;22;74361;13463;22;92060;7776;22;91336;9324;22;99574;858
23;75;6;23;271;45;23;730;166;23;3956;1113;23;7560;2455;23;34085;10280;23;84797;10436;23;96144;4084;23;96284;4948;23;99852;278
24;82;7;24;323;52;24;952;222;24;5494;1538;24;10939;3379;24;46164;12079;24;91666;6869;24;98194;2050;24;98425;2141;24;99953;101
25;88;6;25;387;64;25;1243;291;25;7520;2026;25;15664;4725;25;59332;13168;25;95697;4031;25;99168;974;25;99364;939;25;100000;47
26;100;12;26;472;85;26;1600;357;26;10238;2718;26;21884;6220;26;71528;12196;26;97801;2104;26;99647;479;26;99732;368;;;
27;112;12;27;560;88;27;2078;478;27;13859;3621;27;29991;8107;27;81407;9879;27;98878;1077;27;99852;205;27;99912;180;;;
28;123;11;28;668;108;28;2667;589;28;18489;4630;28;39907;9916;28;88586;7179;28;99456;578;28;99952;100;28;99985;73;;;
29;131;8;29;820;152;29;3408;741;29;24327;5838;29;50714;10807;29;93309;4723;29;99757;301;29;99992;40;29;100000;15;;;
30;141;10;30;1007;187;30;4350;942;30;31311;6984;30;61663;10949;30;96187;2878;30;99899;142;30;100000;8;;;;;;
31;156;15;31;1221;214;31;5565;1215;31;39578;8267;31;71886;10223;31;97857;1670;31;99967;68;;;;;;;;;
32;173;17;32;1473;252;32;7056;1491;32;48553;8975;32;80340;8454;32;98765;908;32;99997;30;;;;;;;;;
33;195;22;33;1774;301;33;9043;1987;33;57784;9231;33;86774;6434;33;99304;539;33;100000;3;;;;;;;;;
34;223;28;34;2114;340;34;11453;2410;34;66663;8879;34;91399;4625;34;99633;329;;;;;;;;;;;;
35;240;17;35;2489;375;35;14480;3027;35;74499;7836;35;94546;3147;35;99821;188;;;;;;;;;;;;
36;256;16;36;2937;448;36;18122;3642;36;81174;6675;36;96610;2064;36;99927;106;;;;;;;;;;;;
37;281;25;37;3494;557;37;22552;4430;37;86405;5231;37;97942;1332;37;99974;47;;;;;;;;;;;;
38;302;21;38;4229;735;38;27670;5118;38;90397;3992;38;98761;819;38;100000;26;;;;;;;;;;;;
39;338;36;39;5039;810;39;33427;5757;39;93324;2927;39;99259;498;;;;;;;;;;;;;;;
40;371;33;40;5965;926;40;39682;6255;40;95440;2116;40;99547;288;;;;;;;;;;;;;;;
41;413;42;41;7095;1130;41;46587;6905;41;96899;1459;41;99750;203;;;;;;;;;;;;;;;
